"workclass","occupation","capital-gain","capital-loss","hours-per-week","native-country","earnings-probability"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Federal-gov","Adm-clerical",0,1672,40,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,40,"Cuba","<=50K"
"Local-gov","Prof-specialty",0,0,40,"United-States",">50K"
"Federal-gov","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Farming-fishing",0,0,49,"Mexico","<=50K"
"Private","Sales",0,0,15,"United-States","<=50K"
"Private","Other-service",0,0,30,"Canada","<=50K"
"Self-emp-not-inc","Sales",0,0,30,"United-States",">50K"
"Private","Handlers-cleaners",0,0,24,"United-States","<=50K"
"Self-emp-inc","Prof-specialty",0,1977,50,"United-States",">50K"
"Self-emp-not-inc","Farming-fishing",0,0,50,"United-States","<=50K"
"Private","Priv-house-serv",0,0,30,"United-States","<=50K"
"Private","Adm-clerical",0,0,25,"United-States","<=50K"
"Private","Exec-managerial",0,0,45,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,45,"United-States","<=50K"
"Federal-gov","Craft-repair",0,0,40,"United-States","<=50K"
"State-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,1977,40,"United-States",">50K"
"Self-emp-not-inc","Prof-specialty",0,0,35,"United-States",">50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Farming-fishing",0,0,45,"Mexico","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,48,"United-States","<=50K"
"Private","Sales",7298,0,50,"United-States",">50K"
"Private","Sales",0,0,47,"United-States","<=50K"
"Local-gov","Prof-specialty",0,1902,40,"United-States",">50K"
"Private","Craft-repair",594,0,40,"United-States","<=50K"
"State-gov","Other-service",0,0,10,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"State-gov","Other-service",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Adm-clerical",0,0,30,"United-States","<=50K"
"Private","Transport-moving",0,0,43,"United-States","<=50K"
"Private","Craft-repair",0,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,45,"United-States",">50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"Mexico","<=50K"
"Private","Exec-managerial",0,0,50,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Local-gov","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,60,"United-States",">50K"
"Private","Prof-specialty",0,0,15,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,20,"United-States","<=50K"
"Private","Sales",0,0,50,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",7688,0,40,"United-States",">50K"
"Federal-gov","Other-service",0,0,32,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,16,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Protective-serv",0,0,45,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"Jamaica","<=50K"
"Private","Sales",0,0,60,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,98,"United-States",">50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",7298,0,40,"United-States",">50K"
"Private","Sales",0,0,55,"United-States","<=50K"
"Private","Other-service",0,0,10,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,58,"Poland","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"State-gov","Adm-clerical",0,0,45,"United-States","<=50K"
"Local-gov","Other-service",0,0,25,"United-States","<=50K"
"Private","Sales",0,0,60,"United-States","<=50K"
"Self-emp-inc","Prof-specialty",99999,0,65,"United-States",">50K"
"Local-gov","Protective-serv",0,0,40,"United-States",">50K"
"Private","Farming-fishing",2580,0,60,"United-States","<=50K"
"State-gov","Exec-managerial",0,0,47,"United-States",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,60,"United-States","<=50K"
"Private","Other-service",0,0,35,"United-States","<=50K"
"Private","Craft-repair",0,0,20,"United-States","<=50K"
"Private","Exec-managerial",0,1672,45,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,50,"United-States",">50K"
"Private","Other-service",0,0,50,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,18,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"Poland","<=50K"
"Federal-gov","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,55,"United-States","<=50K"
"Private","Prof-specialty",0,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"Puerto-Rico","<=50K"
"State-gov","Other-service",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,60,"United-States","<=50K"
"Private","Craft-repair",3103,0,40,"United-States",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Local-gov","Prof-specialty",0,1902,55,"United-States","<=50K"
"Private","Sales",0,0,24,"United-States","<=50K"
"Private","Sales",0,0,30,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"State-gov","Exec-managerial",0,0,38,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,50,"United-States","<=50K"
"State-gov","Adm-clerical",0,0,30,"United-States","<=50K"
"Private","Exec-managerial",0,0,35,"Canada","<=50K"
"Local-gov","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,20,"United-States","<=50K"
"Self-emp-inc","Adm-clerical",0,2377,40,"United-States",">50K"
"Federal-gov","Protective-serv",0,0,40,"United-States","<=50K"
"State-gov","Other-service",0,0,30,"United-States","<=50K"
"Private","Exec-managerial",0,0,55,"United-States",">50K"
"Private","Transport-moving",0,0,40,"Canada","<=50K"
"Private","Other-service",0,0,35,"United-States","<=50K"
"Private","Adm-clerical",0,0,70,"Germany","<=50K"
"Private","Sales",0,1628,60,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",2174,0,55,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",4386,0,48,"United-States",">50K"
"Self-emp-not-inc","Sales",0,0,50,"United-States","<=50K"
"Private","Adm-clerical",0,0,39,"United-States","<=50K"
"Private","Adm-clerical",0,0,43,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",10520,0,30,"United-States",">50K"
"Private","Prof-specialty",0,0,8,"United-States","<=50K"
"Private","Adm-clerical",0,0,30,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,49,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,45,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Local-gov","Other-service",0,0,41,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,30,"United-States","<=50K"
"Federal-gov","Adm-clerical",5178,0,40,"United-States",">50K"
"Local-gov","Handlers-cleaners",7298,0,40,"United-States",">50K"
"Self-emp-not-inc","Farming-fishing",0,0,50,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",7688,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,35,"United-States","<=50K"
"Private","Sales",0,0,55,"United-States","<=50K"
"Private","Prof-specialty",0,0,2,"United-States",">50K"
"Private","Exec-managerial",0,0,50,"United-States",">50K"
"Private","Sales",0,0,20,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Sales",0,0,26,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Local-gov","Transport-moving",0,0,38,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,50,"United-States",">50K"
"Private","Prof-specialty",1506,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,35,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,50,"United-States","<=50K"
"Private","Exec-managerial",99999,0,36,"United-States",">50K"
"Private","Sales",0,0,20,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,15,"United-States","<=50K"
"Private","Prof-specialty",0,0,35,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Private","Adm-clerical",3411,0,38,"United-States","<=50K"
"Self-emp-inc","Craft-repair",0,1740,40,"United-States","<=50K"
"Private","Other-service",0,0,16,"United-States","<=50K"
"Private","Exec-managerial",15024,0,45,"United-States",">50K"
"Private","Prof-specialty",0,0,36,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"Cuba",">50K"
"Local-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,40,"Taiwan",">50K"
"Private","Sales",0,1740,35,"United-States","<=50K"
"Private","Prof-specialty",0,0,20,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Federal-gov","Exec-managerial",0,0,40,"United-States",">50K"
"Self-emp-not-inc","Prof-specialty",0,0,30,"United-States",">50K"
"Local-gov","Prof-specialty",0,2415,45,"United-States",">50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,50,"Iran","<=50K"
"Private","Other-service",0,0,25,"United-States","<=50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Other-service",0,0,52,"United-States","<=50K"
"Private","Prof-specialty",3418,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States",">50K"
"Self-emp-not-inc","Farming-fishing",0,0,50,"United-States","<=50K"
"Private","Sales",0,0,20,"United-States","<=50K"
"Private","Prof-specialty",0,0,56,"United-States","<=50K"
"Private","Exec-managerial",0,0,75,"United-States","<=50K"
"Private","Sales",0,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Self-emp-inc","Exec-managerial",0,0,35,"Taiwan","<=50K"
"Private","Prof-specialty",0,0,50,"United-States",">50K"
"Private","Adm-clerical",0,0,12,"United-States","<=50K"
"Federal-gov","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,45,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Local-gov","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,25,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,30,"United-States","<=50K"
"State-gov","Other-service",0,0,20,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Local-gov","Other-service",0,0,40,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,60,"United-States","<=50K"
"Self-emp-inc","Adm-clerical",0,0,35,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States",">50K"
"Private","Sales",0,0,20,"United-States","<=50K"
"Federal-gov","Protective-serv",0,1887,60,"United-States",">50K"
"Self-emp-not-inc","Prof-specialty",0,0,35,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"Cuba","<=50K"
"State-gov","Exec-managerial",0,0,80,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,25,"United-States","<=50K"
"Federal-gov","Exec-managerial",0,0,45,"United-States","<=50K"
"Private","Adm-clerical",0,0,35,"Canada","<=50K"
"Private","Handlers-cleaners",0,0,12,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,45,"United-States","<=50K"
"Private","Sales",4064,0,40,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Machine-op-inspct",0,0,42,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"Mexico","<=50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Other-service",0,0,20,"United-States","<=50K"
"Private","Craft-repair",0,0,43,"Mexico","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,20,"Scotland","<=50K"
"Private","Adm-clerical",0,0,15,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,30,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States",">50K"
"Federal-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Sales",0,1902,40,"United-States",">50K"
"State-gov","Prof-specialty",0,0,12,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States",">50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Protective-serv",0,0,38,"United-States",">50K"
"Private","Prof-specialty",0,0,50,"United-States",">50K"
"Private","Exec-managerial",0,0,50,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"Mexico","<=50K"
"Self-emp-inc","Sales",0,0,43,"United-States","<=50K"
"State-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,55,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,43,"United-States","<=50K"
"Private","Sales",0,0,50,"United-States","<=50K"
"Self-emp-inc","Adm-clerical",0,0,20,"United-States",">50K"
"Private","Handlers-cleaners",0,0,40,"El-Salvador","<=50K"
"Private","Exec-managerial",0,0,32,"United-States",">50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Prof-specialty",0,0,55,"United-States",">50K"
"Private","Prof-specialty",0,0,10,"United-States","<=50K"
"Private","Sales",0,0,8,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,60,"United-States","<=50K"
"Private","Prof-specialty",0,0,45,"United-States","<=50K"
"Private","Transport-moving",5013,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,1740,25,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,45,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,55,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"Poland",">50K"
"Private","Prof-specialty",0,0,25,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,45,"United-States","<=50K"
"Federal-gov","Adm-clerical",0,2001,60,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,55,"United-States","<=50K"
"Private","Prof-specialty",0,0,25,"United-States","<=50K"
"Private","Other-service",0,0,20,"United-States","<=50K"
"Private","Craft-repair",0,3004,60,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Adm-clerical",0,0,20,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,60,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,30,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,56,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,30,"Mexico","<=50K"
"Private","Farming-fishing",0,0,48,"United-States","<=50K"
"Private","Protective-serv",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,45,"United-States",">50K"
"Private","Other-service",0,0,40,"South","<=50K"
"Private","Exec-managerial",0,0,40,"Cuba","<=50K"
"Private","Handlers-cleaners",0,0,25,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,50,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,30,"United-States","<=50K"
"Private","Prof-specialty",0,0,56,"Mexico","<=50K"
"Private","Machine-op-inspct",0,0,24,"United-States","<=50K"
"Private","Machine-op-inspct",2580,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,53,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"Germany","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,30,"United-States",">50K"
"Private","Other-service",0,0,30,"United-States","<=50K"
"Private","Prof-specialty",0,0,45,"United-States",">50K"
"Private","Craft-repair",0,0,35,"United-States","<=50K"
"Local-gov","Transport-moving",0,0,45,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,2042,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,20,"United-States","<=50K"
"Private","Prof-specialty",0,0,48,"United-States",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Local-gov","Craft-repair",0,0,40,"United-States","<=50K"
"Never-worked","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,40,"United-States","<=50K"
"Local-gov","Other-service",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,70,"United-States","<=50K"
"Private","Sales",0,0,20,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,60,"United-States",">50K"
"Private","Transport-moving",0,0,35,"United-States","<=50K"
"Local-gov","Exec-managerial",20051,0,60,"United-States",">50K"
"Private","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,35,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Protective-serv",0,0,40,"United-States",">50K"
"Federal-gov","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,99,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,50,"United-States",">50K"
"Private","Adm-clerical",0,0,20,"United-States","<=50K"
"Private","Sales",0,0,45,"United-States","<=50K"
"Private","Prof-specialty",0,0,30,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"Puerto-Rico",">50K"
"State-gov","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Tech-support",7430,0,40,"Germany",">50K"
"Self-emp-not-inc","Sales",0,0,12,"United-States","<=50K"
"Private","Other-service",0,0,21,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,55,"United-States","<=50K"
"Private","Adm-clerical",0,0,25,"United-States","<=50K"
"State-gov","Tech-support",0,1590,64,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,10,"Vietnam","<=50K"
"Private","Other-service",0,0,25,"United-States","<=50K"
"Self-emp-not-inc","Adm-clerical",0,2231,40,"United-States",">50K"
"Private","Craft-repair",0,0,45,"United-States","<=50K"
"Private","Other-service",0,0,28,"United-States","<=50K"
"Self-emp-inc","Exec-managerial",15024,0,60,"United-States",">50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,50,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,50,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Self-emp-not-inc","Sales",0,0,60,"United-States",">50K"
"Private","Sales",0,0,33,"United-States","<=50K"
"Private","Adm-clerical",0,1579,40,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,30,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,45,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"Vietnam","<=50K"
"Private","Other-service",0,0,30,"United-States","<=50K"
"Private","Sales",0,1844,70,"United-States","<=50K"
"Private","Craft-repair",0,0,43,"United-States",">50K"
"Private","Transport-moving",0,1740,40,"United-States","<=50K"
"Private","Farming-fishing",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,20,"United-States","<=50K"
"Private","Prof-specialty",0,0,63,"United-States","<=50K"
"State-gov","Other-service",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"South","<=50K"
"Private","Exec-managerial",0,1977,45,"United-States",">50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"State-gov","Adm-clerical",0,0,36,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Sales",13550,0,43,"United-States",">50K"
"Private","Craft-repair",0,0,42,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States",">50K"
"Private","Prof-specialty",2354,0,99,"United-States","<=50K"
"State-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,30,"China","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Federal-gov","Exec-managerial",7688,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,45,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,4,"United-States","<=50K"
"Private","Craft-repair",0,0,45,"Italy","<=50K"
"Private","Craft-repair",0,0,50,"United-States","<=50K"
"Private","Exec-managerial",0,0,50,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,50,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,32,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,25,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,16,"El-Salvador","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,12,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,55,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Sales",7298,0,55,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"Columbia","<=50K"
"Private","Exec-managerial",3325,0,45,"United-States","<=50K"
"Self-emp-inc","Exec-managerial",0,0,60,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Self-emp-inc","Other-service",0,0,80,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,35,"Poland","<=50K"
"Private","Handlers-cleaners",0,0,25,"United-States","<=50K"
"Private","Prof-specialty",99999,0,65,"United-States",">50K"
"Local-gov","Other-service",0,0,35,"United-States","<=50K"
"Private","Craft-repair",0,0,38,"United-States","<=50K"
"Private","Other-service",0,0,10,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,25,"United-States","<=50K"
"Private","Craft-repair",0,0,20,"United-States",">50K"
"Private","Exec-managerial",7688,0,50,"United-States",">50K"
"Private","Tech-support",15024,0,18,"United-States",">50K"
"Self-emp-not-inc","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,32,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,50,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,45,"United-States",">50K"
"Private","Exec-managerial",0,0,80,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,45,"United-States",">50K"
"Private","Protective-serv",0,0,40,"Japan","<=50K"
"Private","Prof-specialty",0,0,40,"England","<=50K"
"Private","Sales",4416,0,42,"United-States","<=50K"
